project,commit_id,label_oracle
ant-ivy,2a5a07fcb1a24fded957d260f9a9df988323db19,1
ant-ivy,4642f1df280891c2238e74935239096fba508ba0,1
ant-ivy,42ffb77e341635adbf1f2b71727cb586fe2ff672,1
ant-ivy,b92f81e2f692f52943c49c595d087d3e3c6c622d,1
ant-ivy,36a1784d52126394afc5963d8139f8933bdd60c9,1
ant-ivy,d978622220174aeeefd3f9b7f90493510ae46fde,1
ant-ivy,003ce14b7b17769cccbdd708d9223180d582f85e,1
ant-ivy,6d4681a7bb4f95d4f2894a3be11a1df333acbeeb,1
ant-ivy,16975fbcef02d82bdf38bf414147e6f7f31aa0d2,1
ant-ivy,09fd49b7d8e1a14c6d2741a1bdfa4f2b3089e199,1
ant-ivy,cda2b6c376fb8a0e0e0de28abe58d11e091a0a90,1
ant-ivy,9c621e90fe8691d5632d2065a732e67033a4004e,1
ant-ivy,a2957640c363e2138970cf95bce17329f4c9d919,1
ant-ivy,64fcdf5322bc67ae880fb042d8c7a70e4168b69c,1
ant-ivy,6313b4ea8007cfff8cabaad5afb8c741a448ea74,1
ant-ivy,02f9469044b2a5c8b87dde443839996a730cc3fc,1
ant-ivy,2b37db76bbe0914435bcf153c39791ea619119f3,1
ant-ivy,75d346b7eef3c336a8278e76e905db98e878d4d7,1
ant-ivy,16221738324f022ed0416bc7d0810499b1267957,1
ant-ivy,69f8b7008c804bf0bcf82d254732cf1d9171d101,1
ant-ivy,3081a1b16a2fcb13b7a13bf761d6a625598d0325,1
ant-ivy,e26114a8fb6e6c7302a072e78dc88ad43979c17e,1
ant-ivy,23e7c3b44ddb18eecaed97ef68aa26220a085a37,1
ant-ivy,dc22215e6ee905481b70bbb14e5e4193acb037e1,1
ant-ivy,ef9ec6caee25b798b6a0f1d040219c91862e5b6b,1
ant-ivy,815513f7da72c65034e82236d3203c06d5a18772,1
ant-ivy,a2b904aa8010bc77d12d58729263f3d1911cdf9b,1
ant-ivy,469a603599eaeefa444fa7ef32d038830815b9e4,1
ant-ivy,af59bab18e6c86f28de4bf91bc3f9f7653513e17,1
ant-ivy,09e8e74b7c2ddcbccb77e15a78a26fdf08570f3c,1
ant-ivy,6db0f0ebfc8f1cf8d3db37dac2e69bd321997982,1
ant-ivy,70d37f9871540b614d4771a9d5e126bbc609598b,1
ant-ivy,a7ba2b11ed7d4cd6f41de0c5ddf1d4f2fee7bc30,1
ant-ivy,690dae616bac0fada5d7b6a259ba63db74fb477f,1
ant-ivy,15449c2d8975402964565b4103664bd39eb5ee41,1
ant-ivy,658ad63ff222f1e73d9782671fd5b57051e8ab46,1
ant-ivy,1fab0220a1b5764624c0962856469409c4c709ff,1
ant-ivy,44d948938827775b4770634feeb8e8e727231c89,1
ant-ivy,b8e898f4a28865a13a0dd1b94e7f06674288771a,1
ant-ivy,1d281b84dd704c0d6c8537328c88e1da24a839a3,1
ant-ivy,8d01ea69a616da96d751de914d095811fbbb2044,1
ant-ivy,bdd5e25015e2ad2e693e5418ee9142f8619efaeb,1
ant-ivy,343be17bd1ceaaa16b828c4c98e72abf96f13ade,1
ant-ivy,77eb781743f8468cb852dde2673a3710e0f76373,1
ant-ivy,9431373f8a271d1229b84a36f0e449af6fb9e4ee,1
ant-ivy,555391fce6822d5f5eb1b0cb6529989ec4706fac,1
ant-ivy,5d6d8d5cf4ced033dbc2bcef78309030a6072f04,1
ant-ivy,535c0c34334862d47ad339a99d0933e5eba76ae0,1
ant-ivy,4dfab0656fe2e8739aafcdf98cdeb2d10541382c,1
ant-ivy,416a39c7da5118f4c20f0aac9d416fd2a0a836d0,1
ant-ivy,c14a3ee19d9c2877c1544c98e8e14dfdfd0f77f2,1
ant-ivy,3f8fe0e329b8765ec62540a497ce6ca3beba2250,1
ant-ivy,d7d9cf45fa1400bb525446708e91dd7514c455e4,1
ant-ivy,ac030b941865b9bb0feb39fc321cd448416df7c9,1
ant-ivy,4d7ec7762d58130fbd5736ac6a17759fb50351cc,1
ant-ivy,e31113a8d15200b17d366b7fa637f03ef8be282d,1
ant-ivy,b34fdc404f53efeb27725f8e2017711e0eb9255e,1
ant-ivy,5057a8affbea2a970419bdc24bcf556f5cfa16c7,1
ant-ivy,0d1c7a5529757f8fae5122b7272dcb641a243121,1
ant-ivy,df74ca0cd1adf33e1f12c94a6d3f4cadb8b5274e,1
ant-ivy,f002d335494301d96ad22c428126c7b3cf15e09b,1
ant-ivy,f453f8c7cef4319b79bcac9d08c2296324987fa0,1
ant-ivy,f3a21e4be20c85ecd2bb6a4844d40de6cd68f8cf,1
ant-ivy,2b950f365771b7054864ad406653b3d918e201c4,1
ant-ivy,9022687ce91015634e41e1c528654005df450878,1
ant-ivy,90b32e0173a8b7eeec02f1686780ecb037edc11d,1
ant-ivy,0d6095721a4ac5e2b2522e224edd9e5f373afe28,1
ant-ivy,7723d729d610b63e7453af532189d3017224d8e9,1
ant-ivy,aa48365d7e08fdf16fec9ff8f56fb584419e3a31,1
ant-ivy,856b838a0647b8c07d942e2a5b6ba267e74cea95,1
ant-ivy,93a5c1d354854024b4cc26fc4f02796333d7fae6,1
ant-ivy,283a1cfbd20bc5061551d5a829e8ed40ff68c46a,1
ant-ivy,b129bcce3a9d47fefcbe48333ef147b1a533d0e2,1
ant-ivy,26fa85d0af87919a88f2cf3076eedf8fec2b9a47,1
ant-ivy,64d6303154b1c85181c686d0a6e7c0437e5da770,1
ant-ivy,d8415b9bfdb5995223b47ecd56762f9333243114,1
ant-ivy,ab4c8391c438436eacd2d47c536774e56f35975f,1
ant-ivy,22e92cf07cc89d49dbd027a294e1ca48e4794ce8,1
ant-ivy,e8c00ea1c65ba6298359fea309487c1319f33431,1
ant-ivy,5527c00f51d76f71014eeae7f5cd676eeb739af5,1
ant-ivy,d01c5872d661782e5b046048012f5f2e0e5b5278,1
ant-ivy,7ee0f955d9abc52c46671e66a390380d3e834bb5,1
ant-ivy,5a81dfb399db91aa6d7da1fab18b1825fc296d5d,1
ant-ivy,e7a919136b5638b4b4c058874d01fdb7ee1ac8f8,1
ant-ivy,f5d360a46f9d2ced579cc7e86ba73562e7b4a6e4,1
ant-ivy,4e6138a119790ebf983ea70c653b26d46b61391b,1
ant-ivy,520a7e66aeaee1a77859410d64b9b09306c1dc0d,1
ant-ivy,b6d29de273afc7f1e95bf21e25297325b15b1ce0,1
ant-ivy,4e091694675ee574c5b3ba82073bd876276b421a,1
ant-ivy,de436b61b69485cdc81b8c6609885634c0aa5434,1
ant-ivy,5ea10c3bb195a4b2867062444ca3975b78968882,1
ant-ivy,580638ecf307d457f0ac3ea4f79e6638c9fa4a19,1
ant-ivy,a63b33a13a3010cb8fa12574776fec1c32cad53a,1
ant-ivy,9e784610556007e0b7df569ae676925c78d197ee,1
ant-ivy,817a9df7c4be8714a215ee315a7405e9787c29ce,1
ant-ivy,969c1d49a271f7fa04cff16ac5d4b888e5a25f37,1
ant-ivy,60a7b9a915d4c58f2413040f2a9e2a16624767eb,1
ant-ivy,9f249b6f58a83219a2cabe7651fa16c9b5787c27,1
ant-ivy,2fd76a1a31ad87de8b68d18b3563b4881512a12d,1
ant-ivy,196a3f29ccfbb60ee08b551383e0e3a1644214ba,1
ant-ivy,86486636f2264520352bd26c6d147e5400af8e33,1
ant-ivy,06d37eb1d79845f5a050b5deeda466771ba1c202,1
ant-ivy,226204eed59c1fc50ad97131b839e1ed513d536c,1
ant-ivy,2cda0797a5dd539e88cbb4bbf6a392ecdc63c63a,1
ant-ivy,2f684692122f9e355ad3e3a07fd345edb5f42e1b,1
ant-ivy,7a6e2c395cee5497692b792d8b338f5cf09a7555,1
ant-ivy,982478de6dffc9ab3f23eb34cc322d6320d5103f,1
ant-ivy,b9571b575a01df9c20487fa4f29922fd956185d9,1
ant-ivy,371280dad18fd5a496f1d96d890d967f38c200ff,1
ant-ivy,28704041ebe62167281d24100e3e874bf1717d04,1
ant-ivy,ef0e3797ad9e410b445e608e7b0e7593fe68a7a5,1
ant-ivy,0430af408da0da9c1577ff36bb43260bb1577e16,1
ant-ivy,f81552bba869d0886c6b2bcec1a1488282de255d,1
ant-ivy,19b8dc8ed20a3f25d510fdfb983506b8001f072e,1
ant-ivy,2835088543bd7015ee20efff08478edf7ce0cc7e,1
